filename;value
120.jpg;
451.jpg;13
22.jpg;
444.jpg;13700
131.jpg;500
35.jpg;130
236.jpg;95
195.jpg;10.4
254.jpg;12
34.jpg;
1.jpg;
23.jpg;67
386.jpg;구5
439.jpg;12
363.jpg;5.7
150.jpg;
260.jpg;12
470.jpg;14
434.jpg;13.
166.jpg;73
517.jpg;12,500
24.jpg;65
298.jpg;5,800
67.jpg;12.5
94.jpg;
229.jpg;1,02
315.jpg;11,3
499.jpg;
198.jpg;151
252.jpg;
297.jpg;
307.jpg;130
465.jpg;9,6
110.jpg;6700
103.jpg;35
388.jpg;153
40.jpg;26
276.jpg;8.7
13.jpg;110
477.jpg;44
256.jpg;M.5
274.jpg;16.4
174.jpg;90
440.jpg;ユ4
340.jpg;14,9
350.jpg;6.6
77.jpg;71
43.jpg;820
435.jpg;8300
508.jpg;39
130.jpg;135
126.jpg;410
310.jpg;
316.jpg;82
389.jpg;
111.jpg;130
429.jpg;10
512.jpg;13
390.jpg;72
196.jpg;10
117.jpg;A4.6
341.jpg;
369.jpg;
63.jpg;
521.jpg;
328.jpg;200
175.jpg;78
204.jpg;9.
147.jpg;12,5
216.jpg;57
383.jpg;90
37.jpg;200
220.jpg;12
278.jpg;70
170.jpg;
473.jpg;
182.jpg;16.4
322.jpg;A5-2
138.jpg;5,400
193.jpg;112
51.jpg;13
163.jpg;16
271.jpg;4,50
